"scrip_code","member_code","client_id"
"556114","112","K17P37"
"556114","134","45548"
"556114","145","Y215B09"
"556114","145","Y237189"
"556114","145","Y238230"
"556114","149","5904P005"
"556114","152","W4L0110003"
"556114","152","W4L0110009"
"556114","152","W4L0110116"
"556114","195","Z1S108"
"556114","195","Z1W289"
"556114","197","W4V131"
"556114","197","Z1CN30"
"556114","202","W4EVMEENA"
"556114","202","Y2HDINESH"
"556114","2023","L16WN"
"556114","2024","N14V21"
"556114","204","X3K304"
"556114","207","204617"
"556114","208","K17B102"
"556114","208","K17K152"
"556114","208","U618N001"
"556114","208","U658M001"
"556114","208","U686A011"
"556114","208","U686P046"
"556114","212","052004"
"556114","212","052024"
"556114","212","066568"
"556114","212","606594"
"556114","220","781013"
"556114","220","854052"
"556114","239","86K001"
"556114","249","K17TJ001"
"556114","254","L16WN"
"556114","258","E23IN250"
"556114","258","Q10ES07"
"556114","26","36416"
"556114","26","47322"
"556114","26","755007"
"556114","26","831207"
"556114","26","854005"
"556114","269","59BHA00002"
"556114","271","49B205"
"556114","276","Y2320BB16"
"556114","276","Y2505AN01"
"556114","281","E23P005014"
"556114","286","9667EE02"
"556114","298","E23R013"
"556114","298","E23R026"
"556114","298","E23R066"
"556114","3027","E23S509"
"556114","3027","F22A183"
"556114","3032","W4PD101"
"556114","3035","K17L156"
"556114","3038","U6184"
"556114","3038","W4390"
"556114","3041","Z1F335"
"556114","3043","I191915"
"556114","3047","T7034"
"556114","3056","L16WN"
"556114","306","9890019018"
"556114","3068","0396"
"556114","3068","N14B164"
"556114","3071","7117"
"556114","3094","X3V107"
"556114","310","15CV7"
"556114","310","26ZA09"
"556114","310","406"
"556114","310","67DB"
"556114","310","74S757"
"556114","3129","Y2BP07"
"556114","3134","H20D9311"
"556114","314","46AS01"
"556114","315","N14SBU797"
"556114","3170","U6FS41"
"556114","3175","L16WN"
"556114","318","M15SN006"
"556114","3202","E230016"
"556114","3202","G21KMG2"
"556114","3202","W4BN13"
"556114","3205","E23S438"
"556114","327","0399"
"556114","330","81101"
"556114","330","93IG005"
"556114","336","21215"
"556114","336","831000025"
"556114","336","831000126"
"556114","359","67002"
"556114","359","67005"
"556114","359","67024"
"556114","359","67034"
"556114","408","H20Z289367"
"556114","408","W4D25749"
"556114","414","Y2I2281"
"556114","428","16008"
"556114","428","924610"
"556114","431","54271"
"556114","431","65031"
"556114","434","L16WN"
"556114","469","C25RL134"
"556114","469","H20LMD100"
"556114","469","H20LMN24"
"556114","469","I19C0102"
"556114","469","I19J7526"
"556114","469","M15AGBB039"
"556114","469","Q10AL0021"
"556114","469","W4BB098"
"556114","469","X3P0011"
"556114","469","Y2AM026"
"556114","469","Y2AM096"
"556114","469","Y2KN587"
"556114","472","T7039"
"556114","475","V5C01"
"556114","493","L16WN"
"556114","493","T7UG01"
"556114","50","83109093"
"556114","50","84702482"
"556114","514","T7DP9"
"556114","521","H20235"
"556114","521","K17G020"
"556114","53","O13U48M11"
"556114","53","O13U48R12"
"556114","53","Q10PBWM009"
"556114","53","Q10PS100"
"556114","53","T7PUJ012"
"556114","53","W4N5M004"
"556114","53","Z1M1776"
"556114","538","L16WN"
"556114","542","8N99"
"556114","572","L16WN"
"556114","575","K17J40"
"556114","578","L16WN"
"556114","587","Z1491149"
"556114","59","Q106S01"
"556114","59","Y2S642"
"556114","624","51284"
"556114","624","51359"
"556114","631","Z11312"
"556114","635","E239584"
"556114","635","H2019420"
"556114","635","H2020839"
"556114","635","I1915742"
"556114","635","I19860"
"556114","635","K17AA022"
"556114","635","M156640"
"556114","635","N1410008"
"556114","635","N141384"
"556114","635","N14E93"
"556114","635","O131879"
"556114","635","P11Y01"
"556114","635","Q107619"
"556114","635","Q108601"
"556114","635","W410369"
"556114","635","W42926"
"556114","635","Y2T71"
"556114","635","Z113924"
"556114","635","Z114280"
"556114","659","Y2D0NS1"
"556114","659","Z1Y0BJ1"
"556114","666","L16WN"
"556114","683","P11152"
"556114","696","C25ZZ64"
"556114","717","L16WN"
"556114","720","64116"
"556114","720","72355"
"556114","771","39950"
"556114","771","40274"
"556114","771","40758"
"556114","771","80913"
"556114","771","818076"
"556114","771","81892"
"556114","771","841233"
"556114","771","842442"
"556114","771","845699"
"556114","799","N1415001"
"556114","800","G21058"
"556114","815","24024"
"556114","820","E23NB1"
"556114","820","K17PN1"
"556114","821","E23J002"
"556114","822","60048"
"556114","822","70496"
"556114","927","L16WN"
"556114","930","E23S1174"
"556114","933","C2530082"
"556114","933","J18250"
"556114","933","W4B2012"
"556114","937","U62087"
"556114","94","X3168"
"556114","941","D24659M105"
"556114","956","1821"
"556114","956","M15AN111"
"556114","96","89016"
"556114","960","75R01"
"556114","966","98M14"
"556114","97","7120"
"556114","978","V514N520"
"556114","982","N1400032688"
