"scrip_code","member_code","client_id"
"556155","1012","I19M047"
"556155","112","172563"
"556155","112","39H111"
"556155","112","647015"
"556155","112","804C01"
"556155","112","824P01"
"556155","112","8N018"
"556155","112","8S514"
"556155","112","8V189"
"556155","112","8V220"
"556155","112","M15726"
"556155","112","V51"
"556155","112","Z1"
"556155","120","E23001"
"556155","129","70023"
"556155","129","71502"
"556155","133","7937"
"556155","134","36206"
"556155","134","45785"
"556155","134","49015"
"556155","134","62106"
"556155","134","67019"
"556155","134","67066"
"556155","134","67311"
"556155","134","68217"
"556155","134","69012"
"556155","138","L16WN"
"556155","144","N14U01S023"
"556155","144","Z1H00J049"
"556155","145","H203879"
"556155","145","H206151"
"556155","145","I1901013"
"556155","145","I1901255"
"556155","145","I1914108"
"556155","145","I1918009"
"556155","145","I1931131"
"556155","145","Y218364"
"556155","145","Y233067"
"556155","145","Y233152"
"556155","145","Y237189"
"556155","145","Y237329"
"556155","145","Y244221"
"556155","145","Y245273"
"556155","145","Y246203"
"556155","148","67400035"
"556155","148","80700290"
"556155","148","87000099"
"556155","149","5915S003"
"556155","149","67B5"
"556155","149","67K27"
"556155","149","83R777"
"556155","149","91J82"
"556155","149","96223"
"556155","149","99B42"
"556155","161","2900"
"556155","161","5001"
"556155","162","6514"
"556155","164","27M001"
"556155","164","56D004"
"556155","164","60B031"
"556155","164","60K005"
"556155","164","81K088"
"556155","164","V5SK20"
"556155","167","L16WN"
"556155","176","L16WN"
"556155","176","P111115"
"556155","176","S82700"
"556155","178","5043"
"556155","187","L16WN"
"556155","187","N14D004"
"556155","187","Q10J349"
"556155","187","Q10J493"
"556155","187","Z1D1533"
"556155","193","3004"
"556155","193","67300"
"556155","193","75520"
"556155","197","E232089"
"556155","197","I19ID34"
"556155","197","I19S161"
"556155","202","K17RATSANG"
"556155","202","W4IGVRAMA"
"556155","202","X3HANPRAH"
"556155","2024","G21B753"
"556155","2024","P11P02"
"556155","2024","V5I61"
"556155","204","X3CK08"
"556155","204","X3GT11"
"556155","204","X3T183"
"556155","205","N144551"
"556155","205","Q10530"
"556155","205","Y24504"
"556155","206","2770"
"556155","206","2823"
"556155","207","80126"
"556155","208","E23A008"
"556155","208","K17B102"
"556155","208","N14S421"
"556155","208","U606K048"
"556155","208","U672V064"
"556155","208","Y208D014"
"556155","209","5476"
"556155","209","N140028"
"556155","210","07009"
"556155","210","52001"
"556155","212","571148"
"556155","212","701068"
"556155","214","L16WN"
"556155","214","W4L010208"
"556155","219","75019"
"556155","220","806050"
"556155","226","Z1081"
"556155","227","N14037"
"556155","234","79S"
"556155","24","L16WN"
"556155","24","N14B20"
"556155","24","V5S21"
"556155","240","0083"
"556155","240","0204"
"556155","240","40925"
"556155","240","46247"
"556155","240","53009"
"556155","254","L16WN"
"556155","258","33N3"
"556155","258","34BN51"
"556155","258","50A03"
"556155","258","50P07"
"556155","258","50S54"
