"scrip_code","member_code","client_id"
"555835","148","64300799"
"555835","149","67A13"
"555835","149","67B1"
"555835","149","67B5"
"555835","167","L16WN"
"555835","202","75SUNITA"
"555835","2023","L16WN"
"555835","254","L16WN"
"555835","258","731"
"555835","3045","Z1999"
"555835","3056","L16WN"
"555835","3149","L16WN"
"555835","316","944U042"
"555835","316","991N31"
"555835","3175","L16WN"
"555835","318","K17329"
"555835","318","M15SH006"
"555835","327","0399"
"555835","327","2015"
"555835","345","Y2KD02"
"555835","404","L16WN"
"555835","431","81041"
"555835","439","M15525501"
"555835","469","K17AR329"
"555835","469","X3L0151"
"555835","498","L16WN"
"555835","515","09023"
"555835","521","H20A06"
"555835","59","P11005"
"555835","635","M15363"
"555835","717","1211"
"555835","720","5627"
"555835","799","L16WN"
